corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,pvpz.0,5000,5111,GROSVOGTT,9,Horstu,NE,horstu,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,Marckmeister,NN,marckmeister,16161,MARCKMEISTER,3
tg,pvpz.0,5000,5111,GROSVOGTT,9,bistu,VVFIN,bistu,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,mitt,APPR,mitt,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,diesem,PDAT,dieser,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,newen,ADJA,newen,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,fleischer,ADJA,fleisch,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,so,ADV,so,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,seinen,PPOSAT,sein,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,scharren,ADJA,scharren,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,aufgeschlagen,VVPP,aufschlagen,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,hatt,VAFIN,hatt,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,bekant,ADJD,bekant,16161,,
tg,pvpz.0,5000,5111,GROSVOGTT,9,?,$.,--,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,Gestrenger,NE,gestreng,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,Junker,NE,junker,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,ich,PPER,ich,16161,MARCKMEISTER,3
tg,pvpz.0,5116,5242,MARCKMEISTER,3,bin,VAFIN,sein,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,so,ADV,so,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,sonderlichs,ADJD,sonderlichs,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,nicht,PTKNEG,nicht,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,mitt,VVFIN,mitt,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,ihm,PPER,ihm,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,bekannt,ADJD,bekannt,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,",","$,",--,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,doch,KON,doch,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,wen,PWS,wen,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,ich,PPER,ich,16161,MARCKMEISTER,3
tg,pvpz.0,5116,5242,MARCKMEISTER,3,ihn,PPER,ihn,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,sehe,VVFIN,sehen,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,wil,ADJD,wil,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,ich,PPER,ich,16161,MARCKMEISTER,3
tg,pvpz.0,5116,5242,MARCKMEISTER,3,ihn,PPER,ihn,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,woll,ADJD,woll,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,kennen,PTKVZ,kennen,16161,,
tg,pvpz.0,5116,5242,MARCKMEISTER,3,.,$.,--,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,Sieh,VVIMP,sieh,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,wer,PWS,wer,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,ist,VAFIN,sein,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,das,PDS,der,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,",","$,",--,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,ist,VAFIN,sein,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,es,PPER,es,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,nicht,PTKNEG,nicht,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,mein,PPOSAT,mein,16161,GROSVOGTT,9
tg,pvpz.0,5247,5308,GROSVOGTT,9,Johan,NN,johan,16161,JOHAN CONGET,5
tg,pvpz.0,5247,5308,GROSVOGTT,9,Conget,NE,conget,16161,,
tg,pvpz.0,5247,5308,GROSVOGTT,9,?,$.,--,16161,,
tg,pvpz.0,5313,5351,MARCKMEISTER,3,Ich,PPER,ich,16161,,
tg,pvpz.0,5313,5351,MARCKMEISTER,3,glaube,VVFIN,glauben,16161,,
tg,pvpz.0,5313,5351,MARCKMEISTER,3,das,ART,der,16161,,
tg,pvpz.0,5313,5351,MARCKMEISTER,3,ers,FM,ers,16161,,
tg,pvpz.0,5313,5351,MARCKMEISTER,3,sey,FM,sey,16161,,
tg,pvpz.0,5313,5351,MARCKMEISTER,3,.,$.,--,16161,,
tg,pvpz.0,5356,5382,GROSVOGTT,9,Johan,NE,johan,16161,JOHAN,18
tg,pvpz.0,5356,5382,GROSVOGTT,9,kom,NE,kom,16161,,
tg,pvpz.0,5356,5382,GROSVOGTT,9,her,PTKVZ,her,16161,,
tg,pvpz.0,5356,5382,GROSVOGTT,9,.,$.,--,16161,,
tg,pvpz.0,5387,5428,JOHAN,18,Wal,NE,wal,16161,,
tg,pvpz.0,5387,5428,JOHAN,18,belihft,VVFIN,belihft,16161,,
tg,pvpz.0,5387,5428,JOHAN,18,aw,PPER,aw,16161,,
tg,pvpz.0,5387,5428,JOHAN,18,ich,PPER,ich,16161,JOHAN,18
tg,pvpz.0,5387,5428,JOHAN,18,bin,VAFIN,sein,16161,,
tg,pvpz.0,5387,5428,JOHAN,18,schon,ADV,schon,16161,,
tg,pvpz.0,5387,5428,JOHAN,18,hir,PTKVZ,hir,16161,,
tg,pvpz.0,5387,5428,JOHAN,18,.,$.,--,16161,,
tg,pvpz.0,5433,5471,GROSVOGTT,9,Wo,PWAV,wo,16161,,
tg,pvpz.0,5433,5471,GROSVOGTT,9,biste,VVFIN,biste,16161,,
tg,pvpz.0,5433,5471,GROSVOGTT,9,so,ADV,so,16161,,
tg,pvpz.0,5433,5471,GROSVOGTT,9,lange,ADJD,lange,16161,,
tg,pvpz.0,5433,5471,GROSVOGTT,9,gewesen,VAPP,sein,16161,,
tg,pvpz.0,5433,5471,GROSVOGTT,9,?,$.,--,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,Ick,NE,ich,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,bin,VAFIN,sein,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,int,ADJD,int,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,heus,APPRART,heus,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,gewest,ADV,gewest,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,vmb,VVFIN,vmb,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,die,ART,der,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,Dornse,NN,dornse,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,tho,FM,tho,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,reinigen,VVINF,reinigen,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,vnd,FM,vnd,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,vmb,FM,vmb,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,dat,FM,dat,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,feur,FM,feur,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,tho,FM,tho,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,macken,FM,macken,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,",","$,",--,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,in,APPR,in,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,der,ART,der,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,kocke,ADJA,kocken,16161,,
tg,pvpz.0,5476,5578,JOHAN,18,.,$.,--,16161,,
tg,pvpz.0,5583,5654,GROSVOGTT,9,Horste,ADJA,horste,16161,,
tg,pvpz.0,5583,5654,GROSVOGTT,9,Marckmeister,NN,marckmeister,16161,MARCKMEISTER,3
tg,pvpz.0,5583,5654,GROSVOGTT,9,der,ART,der,16161,,
tg,pvpz.0,5583,5654,GROSVOGTT,9,garkoch,ADJD,garkoch,16161,,
tg,pvpz.0,5583,5654,GROSVOGTT,9,ist,VAFIN,sein,16161,,
tg,pvpz.0,5583,5654,GROSVOGTT,9,ehr,PPER,ehr,16161,,
tg,pvpz.0,5583,5654,GROSVOGTT,9,eine,ART,ein,16161,,
tg,pvpz.0,5583,5654,GROSVOGTT,9,große,ADJA,groß,16161,,
tg,pvpz.0,5583,5654,GROSVOGTT,9,persohn,NN,persohn,16161,,
tg,pvpz.0,5583,5654,GROSVOGTT,9,.,$.,--,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,Das,ART,der,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,er,PPER,er,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,vbrig,ADJD,vbrig,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,gros,ADJD,gros,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,sein,VAINF,sein,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,sollte,VMFIN,sollen,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,",","$,",--,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,das,PRELS,der,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,Ist,VAFIN,sein,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,er,PPER,er,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,nicht,PTKNEG,nicht,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,doch,ADV,doch,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,Ist,VAFIN,sein,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,er,PPER,er,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,starck,ADJD,starck,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,vnd,ADJD,vnd,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,vndersetzett,VVPP,vndersetzett,16161,,
tg,pvpz.0,5660,5759,MARCKMEISTER,3,.,$.,--,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,Wat,NE,wat,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,meine,PPOSAT,mein,16161,JOHAN,18
tg,pvpz.0,5764,5869,JOHAN,18,jey,FM,jey,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,dat,FM,dat,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,fleischawer,FM,fleischawer,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,dat,FM,dat,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,vp,FM,vp,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,de,FM,de,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,marckt,FM,marcken,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,wonet,FM,wonen,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,dat,FM,dat,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,is,FM,--,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,ein,PTKVZ,ein,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,los,PTKVZ,los,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,voreder,KON,voreder,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,de,NE,de,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,bedrucht,VVFIN,bedruchen,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,die,ART,der,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,lude,NN,lude,16161,,
tg,pvpz.0,5764,5869,JOHAN,18,.,$.,--,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,Halte,NE,halten,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,das,ART,der,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,maul,ADJD,maul,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,du,PPER,du,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,weißest,VAFIN,weißest,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,viel,PIS,viel,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,davon,PROAV,davon,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,was,PWS,was,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,du,PPER,du,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,sagest,VVFIN,sagest,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,Schweiget,NN,schweiget,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,ein,ART,ein,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,weyl,ADJD,weyl,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,still,ADJD,still,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,.,$.,--,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,Vor,APPR,vor,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,meine,PPOSAT,mein,16161,GROSVOGTT,9
tg,pvpz.0,5874,6294,GROSVOGTT,9,person,ADJD,person,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,wüste,VVFIN,wüsten,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,ich,PPER,ich,16161,GROSVOGTT,9
tg,pvpz.0,5874,6294,GROSVOGTT,9,noch,ADV,noch,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,nicht,PTKNEG,nicht,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,",","$,",--,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,das,PDS,der,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,ich,PPER,ich,16161,GROSVOGTT,9
tg,pvpz.0,5874,6294,GROSVOGTT,9,ihn,PPER,ihn,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,gesehen,VVPP,sehen,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,helle,ADJA,hell,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,",","$,",--,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,aberst,VVFIN,aberst,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,wo,PWAV,wo,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,ich,PPER,ich,16161,GROSVOGTT,9
tg,pvpz.0,5874,6294,GROSVOGTT,9,mitt,VVFIN,mitt,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,ihm,PPER,ihm,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,erst,ADV,erst,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,bekantt,VVPP,bekantt,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,werde,VAFIN,werden,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,",","$,",--,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,so,ADV,so,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,mus,VVFIN,mus,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,er,PPER,er,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,mir,PPER,sich,16161,GROSVOGTT,9
tg,pvpz.0,5874,6294,GROSVOGTT,9,auff,VVFIN,auff,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,die,ART,der,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,erste,ADJA,erster,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,Kundtschafft,NN,kundtschafft,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,einen,ART,ein,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,gutten,ADJA,gutt,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,braden,NN,brade,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,geben,VVINF,geben,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,",","$,",--,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,den,PRELS,der,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,der,ART,der,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,vor,APPR,vor,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,ihm,PPER,ihm,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,hir,PROAV,hir,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,war,VAFIN,sein,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,",","$,",--,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,war,VAFIN,sein,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,ein,ART,ein,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,gutt,ADJD,gutt,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,Kerl,NN,kerl,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,",","$,",--,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,der,ART,der,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,hatt,ADJD,hatt,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,mir,PPER,sich,16161,GROSVOGTT,9
tg,pvpz.0,5874,6294,GROSVOGTT,9,manch,PIDAT,manch,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,gutt,ADJD,gutt,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,lamb,VVFIN,lamb,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,auch,ADV,auch,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,manche,PIAT,mancher,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,gutte,ADJA,gutt,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,hamelkeule,ADJA,hamelkeule,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,vnd,FM,vnd,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,vierteyl,FM,vierteyl,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,vom,APPRART,von,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,Kalbe,NN,kalbe,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,vnder,ADJA,vnder,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,dem,ART,der,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,Mantel,NN,mantel,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,zugetragen,VVPP,zutragen,16161,,
tg,pvpz.0,5874,6294,GROSVOGTT,9,.,$.,--,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,So,ADV,so,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,hore,VVFIN,hor,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,Ick,PPER,ich,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,wal,XY,--,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,dat,PDS,dat,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,is,VAFIN,--,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,ein,ART,ein,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,gutt,ADJD,gutt,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,Man,PIS,man,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,de,FM,de,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,aw,FM,aw,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,wat,FM,wat,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,gifft,FM,geffen,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,offt,FM,offen,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,sonst,ADV,sonst,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,schon,ADV,schon,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,ein,ART,ein,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,schelmen,ADJA,schelmen,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,iß,NN,iß,16161,,
tg,pvpz.0,6299,6392,JOHAN,18,.,$.,--,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,Das,ART,der,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,wirdt,VVFIN,werden,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,ehr,PPER,ehr,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,wol,VAFIN,wol,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,gern,ADV,gern,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,thun,VVFIN,thun,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,aber,ADV,aber,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,andere,PIS,anderer,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,werden,VAFIN,werden,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,es,PPER,es,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,ihm,PPER,ihm,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,woll,ADJD,woll,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,wieder,ADV,wieder,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,bezalen,ADJA,bezalen,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,müßen,VVINF,müßen,16161,,
tg,pvpz.0,6397,6492,MARCKMEISTER,3,.,$.,--,16161,,
tg,pvpz.0,6497,6516,GROSVOGTT,9,Wie,PWAV,wie,16161,,
tg,pvpz.0,6497,6516,GROSVOGTT,9,so,ADV,so,16161,,
tg,pvpz.0,6497,6516,GROSVOGTT,9,?,$.,--,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,Ich,PPER,ich,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,meine,VVFIN,meinen,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,die,ART,der,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,Bauern,NN,bauer,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,vnd,ADJD,vnd,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,andere,ADJA,anderer,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,Leutte,NN,leutte,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,so,ADV,so,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,ihm,PPER,ihm,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,darnach,PROAV,darnach,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,fleisch,ADJD,fleisch,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,abkauffen,VVPP,abkauffen,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,werden,VAINF,werden,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,",","$,",--,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,Werdens,NE,werden,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,ihme,VVFIN,ihmen,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,desto,ADV,desto,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,theurer,ADJA,theuer,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,bezalen,ADJA,bezalen,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,müßen,VVINF,müßen,16161,,
tg,pvpz.0,6521,6657,MARCKMEISTER,3,.,$.,--,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,Das,ART,der,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,schadett,ADJD,schadett,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,den,ART,der,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,kalen,ADJA,kal,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,schelmischen,ADJA,schelmisch,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,Bauern,NN,bauer,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,nicht,PTKNEG,nicht,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,",","$,",--,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,den,ART,der,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,wen,PWS,wen,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,man,PIS,man,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,dieselbigen,VVIZU,dieselbig,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,nicht,PTKNEG,nicht,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,ein,ART,ein,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,wenig,PIDAT,wenig,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,bey,FM,bey,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,den,ART,der,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,ohren,ADJA,ohren,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,zauselt,VVFIN,zauseln,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,",","$,",--,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,so,ADV,so,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,werden,VAFIN,werden,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,sie,PPER,sie,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,gar,ADV,gar,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,zu,PTKZU,zu,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,muttwillich,VVINF,muttwillich,16161,,
tg,pvpz.0,6662,6820,GROSVOGTT,9,.,$.,--,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,Als,APPR,als,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,dat,ADJD,dat,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,so,ADV,so,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,sin,VAFIN,sin,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,soltte,ADJA,soltte,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,wolde,ADJA,wolden,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,Ick,NN,ich,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,ock,FM,ock,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,leffer,FM,leffer,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,ein,ART,ein,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,grodtvogt,VVPP,grodtvogt,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,sin,VAFIN,sin,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,als,KOKOM,als,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,ein,ART,ein,16161,,
tg,pvpz.0,6825,6906,JOHAN,18,bur,NN,bur,16161,,
