corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,jn6r.0,1057,1127,ERSTER SCHREIBER,28,Vergnügte,ADJA,vergnügt,27107,,
tg,jn6r.0,1057,1127,ERSTER SCHREIBER,28,Feiertage,NN,feiertag,27107,,
tg,jn6r.0,1057,1127,ERSTER SCHREIBER,28,"!",$.,--,27107,,
tg,jn6r.0,1132,1219,ZWEITER SCHREIBER,29,Vergnügte,ADJA,vergnügt,27107,,
tg,jn6r.0,1132,1219,ZWEITER SCHREIBER,29,Feiertage,NN,feiertag,27107,,
tg,jn6r.0,1132,1219,ZWEITER SCHREIBER,29,"!",$.,--,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,Die,ART,der,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,Musik,NN,musik,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,wird,VAFIN,werden,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,dabei,PROAV,dabei,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,immer,ADV,immer,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,schwächer,ADJD,schwach,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,und,KON,und,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,klingt,VVFIN,klingen,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,aus,PTKVZ,aus,27107,,
tg,jn6r.0,1224,1508,DIE ANDEREN,42,.,$.,--,27107,,
tg,jn6r.0,1515,1713,"Schrauber, Konzipist",7,Vergnügte,ADJA,vergnügt,27107,,
tg,jn6r.0,1515,1713,"Schrauber, Konzipist",7,Feiertage,NN,feiertag,27107,,
tg,jn6r.0,1515,1713,"Schrauber, Konzipist",7,"!",$.,--,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,Sie,PPER,sie,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,haben,VAFIN,haben,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,es,PPER,es,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,not,ADJD,not,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,Herr,NN,herr,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,Schrauber,NE,schrauber,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,daß,KOUS,daß,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,Sie,PPER,sie,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,da,ADV,da,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,mitsummen,VVINF,mitsummen,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,wo,PWAV,wo,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,Sie,PPER,sie,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,doch,ADV,doch,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,wissen,VVINF,wissen,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,wie,PWAV,wie,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,ich,PPER,ich,27107,FÄHNLEIN,25
tg,jn6r.0,1718,1874,FÄHNLEIN,25,denke,VVFIN,denken,27107,,
tg,jn6r.0,1718,1874,FÄHNLEIN,25,"!",$.,--,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,Pah,NE,pah,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,",","$,",--,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,ich,PPER,ich,27107,"Schrauber, Konzipist",7
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,bin,VAFIN,sein,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,der,ART,der,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,Vertraute,NN,vertraute,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,dieser,PDAT,dieser,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,Ihrer,PPOSAT,ihr,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,Gedanken,NN,gedanke,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,seit,APPR,seit,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,Jahren,NN,jahr,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,.,$.,--,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,Sie,PPER,sie,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,sehen,VVFIN,sehen,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,schwarz,ADJD,schwarz,27107,,
tg,jn6r.0,1879,1971,"Schrauber, Konzipist",7,.,$.,--,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,Das,ART,der,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,thut,ADJD,thut,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,der,ART,der,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,Schütze,NN,schütze,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,auch,ADV,auch,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,der,ART,der,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,Zentrum,NN,zentrum,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,schießt,VVFIN,schießen,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,.,$.,--,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,Wenn,KOUS,wenn,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,nun,ADV,nun,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,doch,ADV,doch,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,würde,VAFIN,werden,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,was,PWS,was,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,ich,PPER,ich,27107,FÄHNLEIN,25
tg,jn6r.0,1976,2081,FÄHNLEIN,25,lange,ADV,lange,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,gefürchtet,VVPP,fürchten,27107,,
tg,jn6r.0,1976,2081,FÄHNLEIN,25,?,$.,--,27107,,
tg,jn6r.0,2086,2125,"Schrauber, Konzipist",7,Es,PPER,es,27107,,
tg,jn6r.0,2086,2125,"Schrauber, Konzipist",7,wird,VAFIN,werden,27107,,
tg,jn6r.0,2086,2125,"Schrauber, Konzipist",7,nicht,PTKNEG,nicht,27107,,
tg,jn6r.0,2086,2125,"Schrauber, Konzipist",7,.,$.,--,27107,,
tg,jn6r.0,2086,2125,"Schrauber, Konzipist",7,Wetten,VVFIN,wetten,27107,,
tg,jn6r.0,2086,2125,"Schrauber, Konzipist",7,wir,PPER,wir,27107,,
tg,jn6r.0,2086,2125,"Schrauber, Konzipist",7,?,$.,--,27107,,
tg,jn6r.0,2086,2125,"Schrauber, Konzipist",7,"!",$.,--,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,Eh,NN,eh,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,Unsinn,NN,unsinn,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,–,XY,–,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,wetten,VVINF,wetten,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,"!",$.,--,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,Wenn,KOUS,wenn,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,ich,PPER,ich,27107,FÄHNLEIN,25
tg,jn6r.0,2130,2247,FÄHNLEIN,25,gewinne,VVFIN,gewinnen,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,so,ADV,so,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,haben,VAFIN,haben,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,wir,PPER,wir,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,alle,PIDAT,alle,27107,ALLE,40
tg,jn6r.0,2130,2247,FÄHNLEIN,25,miteinander,ADV,miteinander,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,nichts,PIS,nichts,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,.,$.,--,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,Mit,APPR,mit,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,was,PWS,was,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,zahlen,VVFIN,zahlen,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,Sie,PPER,sie,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,denn,ADV,denn,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,dann,ADV,dann,27107,,
tg,jn6r.0,2130,2247,FÄHNLEIN,25,?,$.,--,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,Eben,ADV,eben,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,",","$,",--,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,ich,PPER,ich,27107,"Schrauber, Konzipist",7
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,wette,VVFIN,wetten,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,ja,ADV,ja,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,nur,ADV,nur,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,auf,APPR,auf,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,Gewinn,NN,gewinn,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,.,$.,--,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,Zu,PTKZU,zu,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,verlieren,VVINF,verlieren,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,habe,VAFIN,haben,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,ich,PPER,ich,27107,"Schrauber, Konzipist",7
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,nichts,PIS,nichts,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,",","$,",--,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,als,KOUS,als,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,höchstens,ADV,höchstens,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,bißchen,PIS,bißchen,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,Fett,NN,fett,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,und,KON,und,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,um,APPR,um,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,das,ART,der,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,thäte,ADJA,that,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,es,PPER,es,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,mir,PPER,sich,27107,"Schrauber, Konzipist",7
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,leid,ADV,leid,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,",","$,",--,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,es,PPER,es,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,kleidet,VVFIN,kleiden,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,mich,PPER,mich,27107,"Schrauber, Konzipist",7
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,so,ADV,so,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,hübsch,ADJD,hübsch,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,Meinen,VVIMP,meinen,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,Sie,PPER,sie,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,nicht,PTKNEG,nicht,27107,,
tg,jn6r.0,2252,2429,"Schrauber, Konzipist",7,?,$.,--,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,Schrauber,NN,schrauber,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,was,PWS,was,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,gäbe,VVFIN,geben,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,ich,PPER,ich,27107,FÄHNLEIN,25
tg,jn6r.0,2434,2505,FÄHNLEIN,25,darum,PROAV,darum,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,Ihren,PPOSAT,ihr,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,Leichtsinn,NN,leichtsinn,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,zu,PTKZU,zu,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,besitzen,VVINF,besitzen,27107,,
tg,jn6r.0,2434,2505,FÄHNLEIN,25,"!",$.,--,27107,,
tg,jn6r.0,2510,2554,"Schrauber, Konzipist",7,Bedaure,NE,bedaure,27107,,
tg,jn6r.0,2510,2554,"Schrauber, Konzipist",7,",","$,",--,27107,,
tg,jn6r.0,2510,2554,"Schrauber, Konzipist",7,der,ART,der,27107,,
tg,jn6r.0,2510,2554,"Schrauber, Konzipist",7,ist,VAFIN,sein,27107,,
tg,jn6r.0,2510,2554,"Schrauber, Konzipist",7,mir,PPER,sich,27107,"Schrauber, Konzipist",7
tg,jn6r.0,2510,2554,"Schrauber, Konzipist",7,nicht,PTKNEG,nicht,27107,,
tg,jn6r.0,2510,2554,"Schrauber, Konzipist",7,feil,PTKVZ,feil,27107,,
tg,jn6r.0,2510,2554,"Schrauber, Konzipist",7,.,$.,--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Ja,PTKANT,ja,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,ihr,PPOSAT,ihr,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,jungen,ADJA,jung,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Leute,NN,leute,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,habt,VAFIN,haben,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,es,PPER,es,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,noch,ADV,noch,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,gut,ADJD,gut,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,aber,KON,aber,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,mich,PPER,mich,27107,FÄHNLEIN,25
tg,jn6r.0,2559,2935,FÄHNLEIN,25,alten,ADJA,alt,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,halbinvaliden,ADJA,halbinvalid,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Menschen,NN,mensch,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,bringt,VVFIN,bringen,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,die,ART,der,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Unruhe,NN,unruhe,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,ganz,ADV,ganz,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,aus,APPR,aus,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,dem,ART,der,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Haus,NN,haus,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,.,$.,--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Freund,NN,freund,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Schrauber,NE,schrauber,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,lassen,VVFIN,lassen,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Sie,PPER,sie,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,mich,PRF,mich,27107,FÄHNLEIN,25
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Ihnen,PPER,ihnen,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,meine,PPOSAT,mein,27107,FÄHNLEIN,25
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Besorgnisse,NN,besorgnis,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,zuflüstern,VVINF,zuflüstern,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,.,$.,--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Indem,KOUS,indem,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,er,PPER,er,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,sich,PRF,sich,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,mit,APPR,mit,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,den,ART,der,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Schreibbocke,NN,schreibbocke,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,herumdreht,VVFIN,herdrehen,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,und,KON,und,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,hinabklettert,VVFIN,hinklettern,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,streift,VVFIN,streifen,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,er,PPER,er,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Lineal,NN,lineal,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Trockenrolle,NN,trockenrolle,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,etc,CARD,etc,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,.,$.,--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,vom,APPRART,von,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Pulte,NN,pulte,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,;,$.,--,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,er,PPER,er,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,steht,VVFIN,stehen,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,einen,ART,ein,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Augenblick,NN,augenblick,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,über,APPR,über,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,das,ART,der,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,verursachte,ADJA,verursacht,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,Geräusch,NN,geräusch,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,verdutzt,VVPP,verdutzen,27107,,
tg,jn6r.0,2559,2935,FÄHNLEIN,25,.,$.,--,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,Na,ITJ,na,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,",","$,",--,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,hören,VVFIN,hören,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,Sie,PPER,sie,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,",","$,",--,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,zum,APPRART,zu,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,Zuflüstern,NN,zuflüster,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,treffen,VVFIN,treffen,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,Sie,PPER,sie,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,ziemlich,ADV,ziemlich,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,lärmende,ADJA,lärmend,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,Anstalten,NN,anstalten,27107,,
tg,jn6r.0,2941,3023,"Schrauber, Konzipist",7,.,$.,--,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,Schrauber,NE,schrauber,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,–,XY,–,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,wenn,KOUS,wenn,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,es,PPER,es,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,nun,ADV,nun,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,schon,ADV,schon,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,da,ADV,da,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,ist,VAFIN,sein,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,–,XY,–,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,wenn,KOUS,wenn,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,auf,APPR,auf,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,diese,PDAT,dieser,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,Feiertage,NN,feiertage,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,kein,PIAT,kein,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,Werktag,NN,werktag,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,mehr,ADV,mehr,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,folgt,VVFIN,folgen,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,?,$.,--,27107,,
tg,jn6r.0,3028,3184,FÄHNLEIN,25,"!",$.,--,27107,,
tg,jn6r.0,3189,3285,"Schrauber, Konzipist",7,Sie,PPER,sie,27107,,
tg,jn6r.0,3189,3285,"Schrauber, Konzipist",7,meinen,VVFIN,meinen,27107,,
tg,jn6r.0,3189,3285,"Schrauber, Konzipist",7,",","$,",--,27107,,
tg,jn6r.0,3189,3285,"Schrauber, Konzipist",7,der,ART,der,27107,,
tg,jn6r.0,3189,3285,"Schrauber, Konzipist",7,Doktor,NN,doktor,27107,,
tg,jn6r.0,3189,3285,"Schrauber, Konzipist",7,wäre,VAFIN,sein,27107,,
tg,jn6r.0,3189,3285,"Schrauber, Konzipist",7,ruiniert,VVPP,ruinieren,27107,,
tg,jn6r.0,3189,3285,"Schrauber, Konzipist",7,?,$.,--,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,Wie,PWAV,wie,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,oft,ADV,oft,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,haben,VAFIN,haben,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,Sie,PPER,sie,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,das,ART,der,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,schon,ADV,schon,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,behauptet,VVPP,behaupten,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,",","$,",--,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,sich,PRF,sich,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,bisher,ADV,bisher,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,immer,ADV,immer,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,geirrt,ADJD,irren,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,und,KON,und,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,nur,ADV,nur,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,sich,PRF,sich,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,selbst,ADV,selbst,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,gequält,VVPP,quälen,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,.,$.,--,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,Das,ART,der,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,thun,FM,thun,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,Sie,PPER,sie,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,wohl,ADV,wohl,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,diesmal,ADV,diesmal,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,wieder,ADV,wieder,27107,,
tg,jn6r.0,3321,3459,"Schrauber, Konzipist",7,.,$.,--,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,Er,PPER,er,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,zieht,VVFIN,ziehen,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,ein,ART,ein,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,buntes,ADJA,bunt,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,Sacktuch,NN,sacktuch,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,aus,APPR,aus,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,der,ART,der,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,Tasche,NN,tasche,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,",","$,",--,27107,,
tg,jn6r.0,3464,3644,FÄHNLEIN,25,trocknet,VVFIN,trocknen,27107,,
